ATOM FIELD,N/A,Channel Name,N/A,N/A,N/A,N/A,Service Key,Gracenote ID,Light Logo Key,Dark Logo Key,N/A,Logo Style,Enabled,Content Segment,Section Navigation,Classification,Format Type,Rating,Channel Description,Channel Colour,Privacy Restrictions,Advisory ,Experiment,Experiment Variant,titleArt169,keyArt169,
,97,WLBT,"Gray Media Group, Inc.",WLBT,"Jackson, MS",In Progress,7275480699647352117,11634,skychb_7275480699647352117_darknow,skychb_7275480699647352117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,98,KTVB,TEGNA INC.,KTVB,"Boise, ID",In Progress,6288802512849424117,10747,skychb_6288802512849424117_darknow,skychb_6288802512849424117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,99,WNDU-TV,"Gray Media Group, Inc.",WNDU-TV,"South Bend-Elkhart, IN",In Progress,5389265108330585117,11708,skychb_5389265108330585117_darknow,skychb_5389265108330585117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,100,WCYB-TV,"Sinclair Television Group, Inc.",WCYB-TV,"Tri-Cities, TN- VA",In Progress,6687046933411524117,11373,skychb_6687046933411524117_darknow,skychb_6687046933411524117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,101,WMBF-TV,"Gray Media Group, Inc.",WMBF-TV,"Myrtle Beach-Florence, SC",In Progress,8193963274474351117,59517,skychb_8193963274474351117_darknow,skychb_8193963274474351117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,102,WITN-TV,"Gray Media Group, Inc.",WITN-TV,"Greenville-N.Bern-Washngtn, NC",In Progress,8921873663826416117,11561,skychb_8921873663826416117_darknow,skychb_8921873663826416117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,103,KWQC-TV,"Gray Media Group, Inc.",KWQC-TV,"Davenport-R.Island-Moline, IA/IL",In Progress,6475653958431419117,10823,skychb_6475653958431419117_darknow,skychb_6475653958431419117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,104,KSNB,"Gray Media Group, Inc.",KSNB,"Hastings-Lincoln-Kearny, NE",In Progress,5673315933366320117,10695,skychb_5673315933366320117_darknow,skychb_5673315933366320117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,105,KRNV,Cunningham Broadcasting Corp,KRNV,"Reno, NV",In Progress,7581048766777881117,10671,skychb_7581048766777881117_darknow,skychb_7581048766777881117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,106,WFIE,"Gray Media Group, Inc.",WFIE,"Evansville, IN",In Progress,9014600234296172117,49161,skychb_9014600234296172117_darknow,skychb_9014600234296172117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,107,WTWC-TV,"Sinclair Television Group, Inc.",WTWC-TV,"Tallahassee, FL-Thomasville, GA",In Progress,5605298171143887117,11927,skychb_5605298171143887117_darknow,skychb_5605298171143887117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,108,WJAC-TV,"Sinclair Television Group, Inc.",WJAC-TV,"Johnstown-Altoona, PA",In Progress,7425328042981355117,11565,skychb_7425328042981355117_darknow,skychb_7425328042981355117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,108.5,_Fallback,N/A,PKNBCL,Fallback,In Progress,6337006762137813117,N/A,skychb_6337006762137813117_darknow,skychb_6337006762137813117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,109,WPTA,"Gray Media Group, Inc.",WPTA,Ft. Wayne,In Progress,5692360465038835117,95919,skychb_5692360465038835117_darknow,skychb_5692360465038835117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,110,KETK-TV,Nexstar Inc.,KETK-TV,Tyler-Longview(Lfkn&Ncgd),In Progress,5106761369241830117,10447,skychb_5106761369241830117_darknow,skychb_5106761369241830117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,111,KDLT-TV,"Gray Media Group, Inc.",KDLT-TV,"Sioux Falls (Mitchell), SD",In Progress,7484000085672307117,10406,skychb_7484000085672307117_darknow,skychb_7484000085672307117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,112,WAGT-CD,"Gray Media Group, Inc.",WAGT-CD,"Augusta-Aiken, GA",In Progress,8341989526008862117,11271,skychb_8341989526008862117_darknow,skychb_8341989526008862117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,113,KVLY-TV,"Gray Media Group, Inc.",KVLY-TV,"Fargo-Valley City, ND",In Progress,8325844643201170117,12406,skychb_8325844643201170117_darknow,skychb_8325844643201170117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,114,WILX-TV,"Gray Media Group, Inc.",WILX-TV,"Lansing, MI",In Progress,8650786098275097117,11550,skychb_8650786098275097117_darknow,skychb_8650786098275097117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,115,WWLP,Nexstar Inc.,WWLP,"Springfield-Holyoke, MA",In Progress,8278725703499237117,11981,skychb_8278725703499237117_darknow,skychb_8278725703499237117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,116,KMTR,"KMTR TELEVISION, LLC (Roberts Media, LLC)",KMTR,"Eugene, OR",In Progress,8054061539960132117,10583,skychb_8054061539960132117_darknow,skychb_8054061539960132117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,117,KNDO,Cowles Company,KNDO,"Yakima-Pasco-Kennewick, WA",In Progress,7467156398320682117,10591,skychb_7467156398320682117_darknow,skychb_7467156398320682117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,118,WPBN-TV,"Sinclair Television Group, Inc.",WPBN-TV,"Traverse City-Cadillac, MI",In Progress,7765718277388389117,92771,skychb_7765718277388389117_darknow,skychb_7765718277388389117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,119,WFMJ-TV,"WFMJ Television, Inc.",WFMJ-TV,"Youngstown, OH",In Progress,4977431009197407117,11441,skychb_4977431009197407117_darknow,skychb_4977431009197407117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,120,WMGT-TV,"Morris Network, Inc.",WMGT-TV,"Macon, GA",In Progress,6406990076578298117,11689,skychb_6406990076578298117_darknow,skychb_6406990076578298117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,121,WEEK,"Gray Media Group, Inc.",WEEK,"Peoria-Bloomington, IL ",In Progress,7245652222154153117,11410,skychb_7245652222154153117_darknow,skychb_7245652222154153117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,122,KSBY,E.W. Scripps Company ,KSBY,SANTABARBRA-SANMAR-SANLUOB,In Progress,7270103739534302117,10681,skychb_7270103739534302117_darknow,skychb_7270103739534302117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,123,WSFA,"Gray Media Group, Inc.",WSFA,"Montgomery-Selma, AL",In Progress,7790256712002731117,11839,skychb_7790256712002731117_darknow,skychb_7790256712002731117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,124,KLAF-LD,Allen Media Broadcasting LLC ,KLAF-LD,"Lafayette, LA",In Progress,8465578740836917117,95644,skychb_8465578740836917117_darknow,skychb_8465578740836917117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,125,KGET-TV,Nexstar Inc.,KGET-TV,Bakersfield,In Progress,6940582398075796117,10473,skychb_6940582398075796117_darknow,skychb_6940582398075796117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,126,KSBW,"Hearst Television, Inc.",KSBW,Monterey-Salinas,In Progress,6015551527006536117,10680,skychb_6015551527006536117_darknow,skychb_6015551527006536117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,127,WLTZ,SagamoreHill Broadcasting  ,WLTZ,"Columbus, GA (Opelika, AL)",In Progress,7997899092454404117,11656,skychb_7997899092454404117_darknow,skychb_7997899092454404117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,128,WECT,"Gray Media Group, Inc.",WECT,"Wilmington, NC",In Progress,6358675955083944117,11404,skychb_6358675955083944117_darknow,skychb_6358675955083944117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,129,WEAU-TV,"Gray Media Group, Inc.",WEAU-TV,"La Crosse-Eau Claire, WI",In Progress,7829709504588804117,11402,skychb_7829709504588804117_darknow,skychb_7829709504588804117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,130,KRIS-TV,E.W. Scripps Company ,KRIS-TV,Corpus Christi,In Progress,5995128853896141117,10666,skychb_5995128853896141117_darknow,skychb_5995128853896141117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,131,WTVA,Allen Media Broadcasting LLC ,WTVA,"Columbus-Tupelo-West Point, MS",In Progress,7551851853328603117,12467,skychb_7551851853328603117_darknow,skychb_7551851853328603117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,132,KAMR-TV,Nexstar Inc.,KAMR-TV,Amarillo,In Progress,9029480695378031117,10325,skychb_9029480695378031117_darknow,skychb_9029480695378031117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,133,KNVN,"Maxair Media, LLC",KNVN,"Chico-Redding, CA",In Progress,6897848793065751117,10386,skychb_6897848793065751117_darknow,skychb_6897848793065751117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,134,WJFW-TV,Rockfleet Broadcasting,WJFW-TV,Wausau-Rhinelander,In Progress,8286744087204885117,11576,skychb_8286744087204885117_darknow,skychb_8286744087204885117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,135,KOBI,"California-Oregon Broadcasting, Inc.",KOBI,"Medford, OR",In Progress,6438535157203186117,10610,skychb_6438535157203186117_darknow,skychb_6438535157203186117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,136,KOMU-TV,Curators of the University of Missouri,KOMU-TV,"Columbia-Jefferson City, MO",In Progress,5304208658026030117,12429,skychb_5304208658026030117_darknow,skychb_5304208658026030117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,137,WRDE-LD,"WBOC, Inc. (sub. Of Draper)",WRDE-LD,Salisbury,In Progress,6278215239607041117,61560,skychb_6278215239607041117_darknow,skychb_6278215239607041117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,138,KWES-TV,TEGNA INC.,KWES-TV,"Midland-Odessa, TX",In Progress,8820826625334630117,10730,skychb_8820826625334630117_darknow,skychb_8820826625334630117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,139,WREX-TV,Allen Media Broadcasting LLC ,WREX-TV,Rockford,In Progress,7030980957071806117,11817,skychb_7030980957071806117_darknow,skychb_7030980957071806117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,140,KFYR-TV,"Gray Media Group, Inc.",KFYR-TV,"Minot-Bismark-Dickinson, ND",In Progress,7840415447954505117,10471,skychb_7840415447954505117_darknow,skychb_7840415447954505117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,141,KBJR,"Gray Media Group, Inc.",KBJR,Duluth-Superior,In Progress,6921318133304004117,10348,skychb_6921318133304004117_darknow,skychb_6921318133304004117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,142,KSNT,Nexstar Inc.,KSNT,"Topeka, KS",In Progress,8379448464527568117,33503,skychb_8379448464527568117_darknow,skychb_8379448464527568117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,143,KMIR-TV,Entravision,KMIR-TV,"Palm Springs, CA",In Progress,8754167448322998117,10569,skychb_8754167448322998117_darknow,skychb_8754167448322998117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,144,KTVE,"Mission Broadcasting, Inc.",KTVE,Monroe-El Dorado,In Progress,5387932526810493117,12356,skychb_5387932526810493117_darknow,skychb_5387932526810493117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,145,KJAC  KBMT-2,TEGNA INC.,KJAC  KBMT-2   (a/k/a KJAC),"Beaumont-Port Arthur, TX",In Progress,7322065857220140117,62398,skychb_7322065857220140117_darknow,skychb_7322065857220140117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,146,KCBD,"Gray Media Group, Inc.",KCBD,"Lubbock, TX",In Progress,5252958713590698117,10366,skychb_5252958713590698117_darknow,skychb_5252958713590698117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,147,KTUU-TV,"Gray Media Group, Inc.",KTUU-TV,"Anchorage, AK",In Progress,8936546216443362117,10745,skychb_8936546216443362117_darknow,skychb_8936546216443362117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,148,KTIV,"Gray Media Group, Inc.",KTIV,Sioux City,In Progress,9167811237974157117,86921,skychb_9167811237974157117_darknow,skychb_9167811237974157117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,149,KFDX-TV,Nexstar Inc.,KFDX-TV,Wichita Falls & Lawton,In Progress,7481418172802553117,12460,skychb_7481418172802553117_darknow,skychb_7481418172802553117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,150,WICU-TV,SJL Communications,WICU-TV,"Erie, PA",In Progress,7066787456855440117,11543,skychb_7066787456855440117_darknow,skychb_7066787456855440117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,151,KTTC,"Gray Media Group, Inc.",KTTC,Rochester-Mason City-Austin,In Progress,4933179262903859117,10739,skychb_4933179262903859117_darknow,skychb_4933179262903859117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,152,KSNF,Nexstar Inc.,KSNF,Joplin-Pittsburg,In Progress,4817752534230909117,12435,skychb_4817752534230909117_darknow,skychb_4817752534230909117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,153,WJHG-TV,"Gray Media Group, Inc.",WJHG-TV,"Panama City, FL",In Progress,8487811676057417117,11577,skychb_8487811676057417117_darknow,skychb_8487811676057417117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,154,WLBZ,TEGNA INC.,WLBZ,"Bangor, ME",In Progress,6124716263471048117,11635,skychb_6124716263471048117_darknow,skychb_6124716263471048117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,155,KPVI,Cox Media Group,KPVI,"Idaho Falls-Pocatello, ID",In Progress,7528331975429661117,12454,skychb_7528331975429661117_darknow,skychb_7528331975429661117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,156,WTWO,Nexstar Inc.,WTWO,Terre Haute,In Progress,6487466187219163117,11928,skychb_6487466187219163117_darknow,skychb_6487466187219163117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,157,WXXV-D2,"Morris Network, Inc.",WXXV-D2,"Biloxi, MS",In Progress,4883444133323462117,63655,skychb_4883444133323462117_darknow,skychb_4883444133323462117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,158,WALB,"Gray Media Group, Inc.",WALB,"Albany, GA",In Progress,5094870779486970117,11277,skychb_5094870779486970117_darknow,skychb_5094870779486970117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,159,KTEN-TV,Lockwood aka Channel 49 Acquisition Corporation,KTEN-TV,Sherman-Ada,In Progress,5320667404656025117,15430,skychb_5320667404656025117_darknow,skychb_5320667404656025117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,160,WBGH-CD,Nexstar Inc.,WBGH-CD,Binghamton,In Progress,7328529727458157117,96444,skychb_7328529727458157117_darknow,skychb_7328529727458157117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,161,WNBW-DT,MPS Media,WNBW-DT,"Gainesville, FL",In Progress,6201349182686074117,72027,skychb_6201349182686074117_darknow,skychb_6201349182686074117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,162,KECI-TV,"Sinclair Television Group, Inc.",KECI-TV,"Missoula, MT",In Progress,9217698023714139117,10425,skychb_9217698023714139117_darknow,skychb_9217698023714139117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,163,WTOV-TV,"Sinclair Television Group, Inc.",WTOV-TV,"Wheeling-Steubenville, OH",In Progress,4663276201805606117,11898,skychb_4663276201805606117_darknow,skychb_4663276201805606117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,164,KYMA,Cox Media Group,KYMA,"Yuma, El Centro, AZ",In Progress,6549893253512892117,10848,skychb_6549893253512892117_darknow,skychb_6549893253512892117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,165,WVVA,"Gray Media Group, Inc.",WVVA,Bluefield-Beckley-Oak Hill,In Progress,8369762627104912117,11975,skychb_8369762627104912117_darknow,skychb_8369762627104912117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,166,KULR-TV,Cowles Company,KULR-TV,"Billings, MT                                                ",In Progress,6379544671030970117,10776,skychb_6379544671030970117_darknow,skychb_6379544671030970117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,167,KRBC-TV,"Mission Broadcasting, Inc.",KRBC-TV,Abilene-Sweetwater,In Progress,7821782996527896117,12389,skychb_7821782996527896117_darknow,skychb_7821782996527896117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,168,WDAM-TV,"Gray Media Group, Inc.",WDAM-TV,"Hattiesburg-Laurel, MS",In Progress,5618943140735889117,11375,skychb_5618943140735889117_darknow,skychb_5618943140735889117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,169,KNBN,Rapid Broadcasting,KNBN,"Rapid City, SD",In Progress,7754291237735286117,17472,skychb_7754291237735286117_darknow,skychb_7754291237735286117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,170,WKTV,"Heartland Media, LLC",WKTV,"Utica, NY",In Progress,4825437861085323117,38700,skychb_4825437861085323117_darknow,skychb_4825437861085323117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,171,WRGX-LD,"Gray Media Group, Inc.",WRGX-LD,"Dothan, AL",In Progress,7234980246506085117,96143,skychb_7234980246506085117_darknow,skychb_7234980246506085117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,172,WBOY-TV,Nexstar Inc.,WBOY-TV,Clarksburg-Weston,In Progress,5829428973402870117,11313,skychb_5829428973402870117_darknow,skychb_5829428973402870117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,173,KPLC,"Gray Media Group, Inc.",KPLC,"Lake Charles, LA",In Progress,5646383994063633117,10642,skychb_5646383994063633117_darknow,skychb_5646383994063633117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,174,WGEM-TV,"Gray Media Group, Inc.",WGEM-TV,Quincy-Hannibal-Keokuk,In Progress,5547428079710170117,52643,skychb_5547428079710170117_darknow,skychb_5547428079710170117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,175,WNBJ-LD,Coastal Television,WNBJ-LD,"Jackson, TN ",In Progress,8444442367237001117,90288,skychb_8444442367237001117_darknow,skychb_8444442367237001117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,176,WSVW-D2 ,"Gray Media Group, Inc.",WSVW-D2 ,"Harrisonburg, VA",In Progress,7684852362832891117,75851,skychb_7684852362832891117_darknow,skychb_7684852362832891117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,177,WETM-TV,Nexstar Inc.,WETM-TV,Elmira (Corning),In Progress,5546672383689272117,11424,skychb_5546672383689272117_darknow,skychb_5546672383689272117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,178,WVIR-TV,"Gray Media Group, Inc.",WVIR-TV,Charlottesville,In Progress,8905454884604757117,12252,skychb_8905454884604757117_darknow,skychb_8905454884604757117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,179,WVNC ,SagamoreHill Broadcasting  ,WVNC ,Watertown,In Progress,6982768328517262117,101665,skychb_6982768328517262117_darknow,skychb_6982768328517262117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,180,KTVZ,News Press & Gazette Company,KTVZ,"Bend, OR",In Progress,9040243236748607117,15433,skychb_9040243236748607117_darknow,skychb_9040243236748607117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,181,KALB-TV,"Gray Media Group, Inc.",KALB-TV,"Alexandria, LA",In Progress,7087019731870381117,12729,skychb_7087019731870381117_darknow,skychb_7087019731870381117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,182,WLUC-TV,"Gray Media Group, Inc.",WLUC-TV,"Marquette, MI",In Progress,5948256545219222117,11657,skychb_5948256545219222117_darknow,skychb_5948256545219222117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,183,KAIT-D2,"Gray Media Group, Inc.",KAIT-D2,"Jonesboro, AR",In Progress,7486924191396753117,34666,skychb_7486924191396753117_darknow,skychb_7486924191396753117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,184,WPBI-D2,Coastal Television,WPBI-D2,"Lafayette, IN",In Progress,8643080595721169117,101399,skychb_8643080595721169117_darknow,skychb_8643080595721169117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,185,WNKY,Marquee Broadcasting,WNKY,"Bowling Green, KY",In Progress,5838485314583493117,14946,skychb_5838485314583493117_darknow,skychb_5838485314583493117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,186,KGNS-TV,"Gray Media Group, Inc.",KGNS-TV,"Laredo, TX",In Progress,6769855846078151117,10478,skychb_6769855846078151117_darknow,skychb_6769855846078151117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,187,KTVM,"Sinclair Television Group, Inc.",KTVM,"Butte-Bozeman, MT",In Progress,7172583602662740117,30608,skychb_7172583602662740117_darknow,skychb_7172583602662740117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,188,KKCO,"Gray Media Group, Inc.",KKCO,"Grand Junction-Montrose, CO",In Progress,5259943265384209117,17347,skychb_5259943265384209117_darknow,skychb_5259943265384209117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,189,KTFT-LD (Sat),TEGNA INC.,KTFT-LD (Sat),"Twin Falls, ID",In Progress,7163105320136814117,64716,skychb_7163105320136814117_darknow,skychb_7163105320136814117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,190,WLIO,Block Communications Inc.,WLIO,"Lima, OH",In Progress,7612081688933245117,11642,skychb_7612081688933245117_darknow,skychb_7612081688933245117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,191,KTGF,E.W. Scripps Company ,KTGF,Great Falls,In Progress,8654817723779097117,91501,skychb_8654817723779097117_darknow,skychb_8654817723779097117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,192,WGBC-D2,Coastal Television,WGBC-D2,"Meridian, MS",In Progress,5481183739821849117,95718,skychb_5481183739821849117_darknow,skychb_5481183739821849117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,193,WTAP-TV,"Gray Media Group, Inc.",WTAP-TV,"Parkersburg, WV",In Progress,8954172020326656117,42952,skychb_8954172020326656117_darknow,skychb_8954172020326656117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
,194,KIEM-TV,Cox Media Group,KIEM-TV,"Eureka, CA",In Progress,9184426156940047117,10510,skychb_9184426156940047117_darknow,skychb_9184426156940047117_lightnow,,,,LOCAL_AFFILIATES,ENTERTAINMENT,News,,,,,NFLCONSENT,,,,,,
